17/03/20 23:51:22 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 23:51:23 INFO client.RMProxy: Connecting to ResourceManager at invertedindex-m/10.138.0.4:8032
17/03/20 23:51:24 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 23:51:25 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/03/20 23:51:26 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/03/20 23:51:27 INFO input.FileInputFormat: Total input paths to process : 3036
17/03/20 23:51:28 INFO mapreduce.JobSubmitter: number of splits:3036
17/03/20 23:51:28 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490038588730_0004
17/03/20 23:51:28 INFO impl.YarnClientImpl: Submitted application application_1490038588730_0004
17/03/20 23:51:28 INFO mapreduce.Job: The url to track the job: http://invertedindex-m:8088/proxy/application_1490038588730_0004/
17/03/21 02:49:51 INFO mapreduce.Job:  map 100% reduce 80%
17/03/21 02:49:53 INFO mapreduce.Job:  map 100% reduce 81%
17/03/21 02:50:00 INFO mapreduce.Job:  map 100% reduce 82%
17/03/21 02:50:04 INFO mapreduce.Job:  map 100% reduce 86%
17/03/21 02:50:08 INFO mapreduce.Job:  map 100% reduce 87%
17/03/21 02:50:09 INFO mapreduce.Job:  map 100% reduce 88%
17/03/21 02:50:11 INFO mapreduce.Job:  map 100% reduce 89%
17/03/21 02:50:17 INFO mapreduce.Job:  map 100% reduce 90%
17/03/21 02:50:20 INFO mapreduce.Job:  map 100% reduce 91%
17/03/21 02:50:23 INFO mapreduce.Job:  map 100% reduce 92%
17/03/21 02:50:24 INFO mapreduce.Job:  map 100% reduce 94%
17/03/21 02:50:27 INFO mapreduce.Job:  map 100% reduce 95%
17/03/21 02:50:30 INFO mapreduce.Job:  map 100% reduce 96%
17/03/21 02:50:33 INFO mapreduce.Job:  map 100% reduce 97%
17/03/21 02:50:36 INFO mapreduce.Job:  map 100% reduce 98%
17/03/21 02:50:39 INFO mapreduce.Job:  map 100% reduce 99%
17/03/21 02:50:45 INFO mapreduce.Job:  map 100% reduce 100%
17/03/21 02:50:51 INFO mapreduce.Job: Job job_1490038588730_0004 completed successfully
17/03/21 02:50:51 INFO mapreduce.Job: Counters: 55
        File System Counters
                FILE: Number of bytes read=3421568890
                FILE: Number of bytes written=7218645424
                FILE: Number of read operations=0
                FILE: Number of large read operations=0
                FILE: Number of write operations=0
                GS: Number of bytes read=1141569921
                GS: Number of bytes written=236350708
                GS: Number of read operations=0
                GS: Number of large read operations=0
                GS: Number of write operations=0
                HDFS: Number of bytes read=427749
                HDFS: Number of bytes written=0
                HDFS: Number of read operations=3036
                HDFS: Number of large read operations=0
                HDFS: Number of write operations=0
        Job Counters 
		 Killed map tasks=1
                Launched map tasks=3036
                Launched reduce tasks=12
                Rack-local map tasks=3036
                Total time spent by all maps in occupied slots (ms)=159918624
                Total time spent by all reduces in occupied slots (ms)=86627844
                Total time spent by all map tasks (ms)=26653104
                Total time spent by all reduce tasks (ms)=7218987
                Total vcore-milliseconds taken by all map tasks=26653104
                Total vcore-milliseconds taken by all reduce tasks=14437974
                Total megabyte-milliseconds taken by all map tasks=81878335488
                Total megabyte-milliseconds taken by all reduce tasks=44353456128
        Map-Reduce Framework
                Map input records=25104
                Map output records=210715204
                Map output bytes=3000138381
                Map output materialized bytes=3421787410
                Input split bytes=427749
                Combine input records=0
                Combine output records=0
                Reduce input groups=1217641
                Reduce shuffle bytes=3421787410
                Reduce input records=210715204
                Reduce output records=1217641
                Spilled Records=421430408
                Shuffled Maps =36432
                Failed Shuffles=0
                Merged Map outputs=36432
                GC time elapsed (ms)=506806
                CPU time spent (ms)=6701450
                Physical memory (bytes) snapshot=989232640000
                Virtual memory (bytes) snapshot=13415583395840
                Total committed heap usage (bytes)=826422067200
        Shuffle Errors
                BAD_ID=0
                CONNECTION=0
                IO_ERROR=0
                WRONG_LENGTH=0
                WRONG_MAP=0
                WRONG_REDUCE=0
        File Input Format Counters 
                Bytes Read=1141569921
        File Output Format Counters 
                Bytes Written=236350708
